2019-01-12,2019-01-13,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-19,2019-01-20,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-26,2019-01-27,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-02,2019-02-03,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-09,2019-02-10,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-16,2019-02-17,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-23,2019-02-24,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-02
Ma Po Beancurd,Thai Fishcake,Braised Tau Kee,De-Shell Prawn,Cajun Baked Fish,JPN Beancurd w Pumpkin Sauce,Hon Siew Beancurd,,Salt & Pepper Beancurd,Steamed Egg w Crabmeat Stick,De-Shell Prawn,Breaded Fish Cutlet w Tartar Sauce,Baked Curry Potato w Cheese,Sambal Fishball,,Fish Nuggets,Deep Fried Wantan,Shredded Chicken,Dory Fish Fillet w Mushroom Sauce,Egg Beancurd w Chicken Mince,BBQ Cocktail Sausage,,Durama Springroll,Breaded Scallop Cake,Shredded Chicken,Tempura Fish Cutlet,JPN Beancurd w Pumpkin Sauce,Teriyaki Sotong Ball,,Durama Springroll,Fishball w Chili Crab Sauce,Roasted Chicken Drumstick,,Vegetarian Springroll,Ku Chai Fried Egg,,Thai Fishcake,Braised Tau Kee,De-Shell Prawn,Cajun Baked Fish,JPN Beancurd w Pumpkin Sauce,Hon Siew Beancurd,,Salt & Pepper Beancurd,Steamed Egg w Crabmeat Stick,De-Shell Prawn,Breaded Fish Cutlet w Tartar Sauce,Baked Curry Potato w Cheese,Sambal Fishball,Fish Nuggets
Thai Fishcake,Honey Fishball,BBQ Cocktail Sausage,Shredded Chicken & Fishcake,,Chicken Nuggets,Fried Ngoh Hiang,,Seaweed Chicken,Vegetarian Springroll,Egg & Fish Cake,,Ku Chai Fried Egg,Steam Beancurd with Salted Egg,,Stir Fried Potato w Spring Onion,Onion Fried Egg,Potato Cutlet & Fish Cake,,Breaded Spinach Ball,Thai Fishcake,,Hon Siew Beancurd,Black Pepper Sausage,Egg & Fish Ball,,Seaweed Cheese Roll,Fish Nuggets,,Hon Siew Beancurd,Cheese Taufu,Fried Fish Fillet,,Sweet N Sour Chicken Sausage,Breaded Scallop Cake,,Honey Fishball,BBQ Cocktail Sausage,Shredded Chicken & Fishcake,,Chicken Nuggets,Fried Ngoh Hiang,,Seaweed Chicken,Vegetarian Springroll,Egg & Fish Cake,,Ku Chai Fried Egg,Steam Beancurd with Salted Egg,Stir Fried Potato w Spring Onion
Honey Fishball,,,Chye Sim,,,,,,,Beansprout & Kangkong,,,,,,,Beansprout,,,,,,,Beansprout,,,,,,,Fishcake & Keropok,,,,,,,Chye Sim,,,,,,,Beansprout & Kangkong,,,,
,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,-Vegetable-
-Vegetable-,Tai Pak Choy w Oyster Sauce,HK Chye Sim,,Mash Potato w Gravy,HK Kai Lan,Siew Pak Choy w Babycorn,,Spinach w Wolfberry in Chef Stock,Lo Han Vegetable,Sambal Chili,Potato Wedges w Nacho Cheese,French Bean w Dry Shrimp,Stir Fried Beansprout,,Sambal Goreng,Curry Vegetable,Basil Leaves,Saute Potato,French Bean w Tau Kwa,Spinach w Century Egg,,Stir Fried Snow Peas Mix Vegetable,Spinach w Wolfberry in Chef Stock,Laksa Leaves,Pollock Fish,HK Chye Sim,Nonya Chap Chai,,Stir Fried Snow Peas Mix Vegetable,Spinach with Chef Stock,,Pollock Fish,Stir Fried Ladies Finger,Stir Fried Beansprout,,Tai Pak Choy w Oyster Sauce,HK Chye Sim,,Mash Potato w Gravy,HK Kai Lan,Siew Pak Choy w Babycorn,,Spinach w Wolfberry in Chef Stock,Lo Han Vegetable,Sambal Chili,Potato Wedges w Nacho Cheese,French Bean w Dry Shrimp,Stir Fried Beansprout,Sambal Goreng
Tai Pak Choy w Oyster Sauce,Stir Fried French Bean,Stir Fried Long Bean,,Salted Mix Mushroom,Roasted Mix Vegetabe,Roasted Pumpkin,,Broccoli w Mushroom,Siew Pak Choy w Carrot,Sping Onions,Broccoli w Lemon Butter Cream,Sawi w Oyster Sauce,HK Nai Bai,,HK Chye Sim w Slice Mushroom,Cauliflower w Crabstick Sauce,Sping Onions,Baked Cauliflower w Cheese,Kailan w Oyster Sauce,HK Nai Bai,,Broccoli w Mushroom,Winter Melon w Dried Shrimp,,Crinkle Cut French Fries,Stir Fried Cabbage,Sawi w Oyster Sauce,,Broccoli w Mushroom,Curry Vegetable,,Salted Mix Mushroom,Siew Pak Choy w Oyster Sauce,HK Nai Bai w Carrots,,Stir Fried French Bean,Stir Fried Long Bean,,Salted Mix Mushroom,Roasted Mix Vegetabe,Roasted Pumpkin,,Broccoli w Mushroom,Siew Pak Choy w Carrot,Sping Onions,Broccoli w Lemon Butter Cream,Sawi w Oyster Sauce,HK Nai Bai,HK Chye Sim w Slice Mushroom
Stir Fried French Bean,,Eggplant w Dried Shrimp,,Breaded Spinach Ball,Deep Fried Chye Sim,,,,Braised Cabbage w Mushroom,Shallots,Breaded Onion Ring,Nonya Chap Chai,,,,Stir Fried Ladies Finger,Shallots,Salted Mix Mushroom w Onion,Sze Chuan Eggplant,,,,Deep Fried Chye Sim,,Jacket Potato w Sour Cream,Abalone Mushroom,,,,Long Cabbage w Mix Mushroom,,Chicken Nuggets,Stir Fried Mix Vegetable,,,,Eggplant w Dried Shrimp,,Breaded Spinach Ball,Deep Fried Chye Sim,,,,Braised Cabbage w Mushroom,Shallots,Breaded Onion Ring,Nonya Chap Chai,,
,,,,Golden Potato Puffs,,,,,,,Buttered Corn Niblets,,,,,,,Chicken Nuggets,,,,,,,Buttered Corn Niblets,,,,,,,Hashbrown,,,,,,,Golden Potato Puffs,,,,,,,Buttered Corn Niblets,,,
,,,,Coleslaw,,,,,,,Saute Mushroom,,,,,,,Mash Potato w Gravy,,,,,,,,,,,,,,Garden Fresh Salad,,,,,,,Coleslaw,,,,,,,Saute Mushroom,,,
,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,,-Dessert- ,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-
-Dessert-,Milo Jelly,Orange,Sea Coconut,Black Glutinous Rice,Watermelon,Green Apple,,Pineapple,Watermelon,Cold Cheng Teng,Red Apple,Bo Bo Cha Cha,Pengat Pisang,,Milo Jelly,Red apple,Mango Pudding,Banana,Green Bean Soup,Orange,,Almond Jelly,Barley w Beancurd Stick,Honeydew,Red Apple,Red Bean Soup,Papaya,,Mango Pudding,Barley w Beancurd Stick,Honeydew,Red Apple,Red Bean Soup,Papaya,,Milo Jelly,Orange,Sea Coconut,Black Glutinous Rice,Watermelon,Green Apple,,Pineapple,Watermelon,Cold Cheng Teng,Red Apple,Bo Bo Cha Cha,Pengat Pisang,Milo Jelly
Milo Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
